id,date,message_type,message_content,media_path
664938,2025-02-02T17:34:28+00:00,text,keep support💪,
664937,2025-02-02T17:34:22+00:00,sticker,[STICKER] BAADBQADzBAAAnX7EVWHAQABoe8hwwYC,media/sticker_664937.webp
664936,2025-02-02T17:34:21+00:00,sticker,[STICKER] BAADBAADRBgAAqWNMFN85C6KxhF6ogI,media/sticker_664936.webp
664935,2025-02-02T17:34:17+00:00,sticker,[STICKER] BAADBQADHAYAAk6cyFZoW_fnYB4U3QI,media/sticker_664935.webp
664934,2025-02-02T17:34:03+00:00,text,Controllll,
664933,2025-02-02T17:34:02+00:00,text,Good,
664932,2025-02-02T17:33:50+00:00,text,Haha,
664931,2025-02-02T17:33:40+00:00,sticker,[STICKER] CAADBQAD2g0AAo4H4FR_4-ob8Lez2QI,media/sticker_664931.webp
664930,2025-02-02T17:33:34+00:00,text,Ohh. Okay,
664929,2025-02-02T17:33:31+00:00,sticker,[STICKER] CAADBAADTQ0AAoHiUFHmAqygEA-P-QI,media/sticker_664929.webp
664928,2025-02-02T17:33:24+00:00,sticker,[STICKER] CAADBAADzhQAAk-I2FMWBFLG04PWFgI,media/sticker_664928.webp
664927,2025-02-02T17:33:23+00:00,text,Bruh 🤓,
664926,2025-02-02T17:33:21+00:00,text,I told him,
664925,2025-02-02T17:33:19+00:00,text,ohh okay,
664924,2025-02-02T17:33:10+00:00,text,Maybe they are on picnic 😂,
664923,2025-02-02T17:33:09+00:00,text,Chicken sausage,
664922,2025-02-02T17:33:00+00:00,text,Haha 😂,
664921,2025-02-02T17:32:55+00:00,text,whats that on the pizza?,
664920,2025-02-02T17:32:48+00:00,text,Not hungry,
664919,2025-02-02T17:32:43+00:00,text,Making me hungry after dinner heh,
664918,2025-02-02T17:32:38+00:00,text,But it's all boys needed 😭,
664917,2025-02-02T17:32:35+00:00,sticker,[STICKER] BAADBQADqxUAAne5EFVphIn652slQAI,media/sticker_664917.webp
664916,2025-02-02T17:32:27+00:00,sticker,[STICKER] BAADBQADzBAAAnX7EVWHAQABoe8hwwYC,media/sticker_664916.webp
664915,2025-02-02T17:32:23+00:00,text,Good night too bro,
664914,2025-02-02T17:32:22+00:00,text,U don't need more food 😃,
664913,2025-02-02T17:32:14+00:00,photo,[PHOTO],media/photo_664913.jpg
664912,2025-02-02T17:32:11+00:00,text,You are looking very fat brother,
664911,2025-02-02T17:32:08+00:00,text,Yeah I did,
664910,2025-02-02T17:32:05+00:00,text,Night,
664909,2025-02-02T17:31:54+00:00,text,You can simply interact here by actively chatting with the mememcore community.,
664908,2025-02-02T17:31:47+00:00,text,Don't give up,
664907,2025-02-02T17:31:38+00:00,text,You?,
664906,2025-02-02T17:31:31+00:00,text,No but soon,
664905,2025-02-02T17:31:03+00:00,text,"Yo,did dinner?",
664904,2025-02-02T17:31:01+00:00,sticker,[STICKER] BAADBAADexUAAkejCVNXPSJ4GPFRjQI,media/sticker_664904.webp
